atrium, rotunda, courtyard, foyer, atria, ventricle, staircase, second-floor, light-filled, colonnade, entryway
loading, unloading, loader, reloading, manually, handling, storing, configuration, container, sorting, storage
shoe, footwear, sneaker, sandals, boots, heel, toe, suede, soles, leather, socks
ruin, spoil, destroy, shame, havoc, downfall, mess, wreak, threaten, surely, doomed
cell, cellular, phone, cellphone, tumor, proliferation, mobile, differentiation, tissue, epithelial, activation
inn, motel, hotel, lodge, marriott, tavern, manor, ramada, guesthouse, resturant, cottages
veterinarians, veterinary, vets, nutritionists, physicians, farriers, pharmacists, pediatricians, equine, doctors, behaviorists
clothing, apparel, garments, shirts, jackets, wear, jeans, fashions, attire, dresses, pants
kindergarden, kindergarten, kindy, gradeschool, playschool, pre-k, pre-school, kindegarten, preschool, kindergaten, preK
hotel, motel, rooms, accommodation, lodging, inn, resort, hostel, guesthouse, restaurant, reservations
vegetation, grassland, habitats, grasses, forests, wetland, riparian, shrubs, trees, fauna, flora
pizzeria, trattoria, eatery, pizza, restaurant, deli, ristorante, bakery, gelateria, bistro, delicatessen
tundra, arctic, boreal, grasslands, artic, biome, subarctic, taiga, permafrost, snowy, steppe
synagogue, shul, congregation, rabbi, church, mosque, Jewish, Jerusalem, yeshiva, Jews, temple
general, terms, certain, concerned, particular, lack, other, regard, reasons, common, particularly
bar, restaurant, cafe, pub, lounge, café, dining, drinks, menu, tavern, coffee
shop, store, retailer, cafe, grocery, mall, showroom, bakery, supermarket, warehouse, boutique
platform, capabilities, integration, enables, functionality, enterprise, technology, mobile, applications, scalable, launch
boxing, kickboxing, mma, martial, boxer, sparring, wrestling, karate, muay, judo, heavyweight
history, historical, heritage, literature, origins, century, cultural, past, tradition, ancient, decades
hospital, medical, clinic, ambulance, nursing, hospice, doctors, outpatient, care, inpatient, physician
line, end, point, along, right, same, edge, path, side, straight, bottom
sky, clouds, moon, sun, horizon, sunset, heavens, sunrise, shining, starry, blue
nursing, nurse, hospital, medical, care, hospice, healthcare, midwifery, pediatric, geriatric, lpn
matte, gloss, glossy, shimmery, textured, high-gloss, shimmer, gunmetal, pearlescent, translucent, satin
arch, heel, upper, curved, toe, archway, gable, facade, wall, staircase, parapet
track, record, album, song, tune, instrumental, music, road, race, sound, listen
glass, crystal, frosted, ceramic, bottle, acrylic, glassware, decorative, vase, plastic, mirror
ice, frozen, icy, cream, ice-cream, snow, puck, cold, icecream, rink, chocolate
store, shop, grocery, retailer, warehouse, mall, supermarket, merchandise, bookstore, items, Walmart
dressing, salad, mayonnaise, vinaigrette, sauce, mustard, cheese, lettuce, ketchup, onion, garlic
apartment, townhouse, condo, appartment, bedroom, house, rent, penthouse, condominium, residence, villa
desert, arid, mountains, plains, dunes, wilderness, barren, oasis, canyon, desolate, hills
shaft, rotor, rod, piston, bushing, flange, cylinder, pinion, axle, pulley, bearings
botanical, zoological, flora, medicinal, horticultural, gardens, herbal, arboretum, botany, orchid, extracts
hockey, soccer, basketball, lacrosse, baseball, football, NHL, skating, goalie, volleyball, softball
parking, carpark, driveway, entrance, garage, on-street, off-street, sidewalk, taxi, valet, restrooms
reading, writing, books, readers, re-reading, thinking, rereading, listening, thoughts, discussing, about
office, desk, department, headquarters, appointment, clerk, secretary, staff, administrative, house, assistant
flea, heartworm, lice, mites, infestation, tick, insect, pet, mosquito, cats, dog
nursery, crib, preschool, bedding, pre-school, childrens, daycare, kindergarten, garden, baby, toddler
site, website, web, webpage, web-site, homepage, link, page, blog, webmaster, portal
library, bookstore, librarian, libary, repository, archives, collections, databases, placeOfPublica, public, museum
heliport, helipad, aerodrome, heli-pad, airfield, airstrip, seaplane, airdrome, helideck, taxiways, hangar
motel, hotel, inn, lodging, campground, accomodations, hostel, guesthouse, apartment, accommodations, rooms
street, sidewalk, alley, downtown, neighborhood, road, city, avenue, corner, subway, thoroughfare
factory, manufacturing, warehouse, aftermarket, automotive, industrial, shop, machinery, manufactory, supplier, mill
playground, backyard, picnic, park, pool, swimming, outdoor, rink, gymnasium, kiddie, recreation
microwave, refrigerator, oven, fridge, toaster, dishwasher, cooker, stove, freezer, dryer, stovetop
person, someone, he/she, individual, if, people, one, every, unless, anyone, regardless
scissors, shears, tweezers, knife, pliers, knives, scalpel, cutters, snips, clippers, screwdriver
umbrella, parasol, unbrella, chairs, tent, blanket, raincoat, arm, holding, tarp, sunshade
knife, knives, blade, scissors, serrated, sword, machete, dagger, cutter, slicing, sharpener
bed, bedroom, sofa, bath, sleeping, couch, bunk, mattress, room, bathroom, pillow
bench, sitting, chair, standing, floor, seat, leaning, squat, corner, locker, desk
elephant, giraffe, hippo, lion, tiger, rhino, monkey, rhinoceros, gorilla, hippopotamus, frog
bicycle, bike, motorcycle, cycling, scooter, motorbike, ride, cyclists, tricycle, moped, mtb
keyboard, keypad, touchpad, keys, typing, laptop, mouse, trackpad, QWERTY, touchscreen, screen
bus, buses, busses, taxi, train, tram, airport, station, minibus, subway, route
cat, kitten, dog, kitty, pet, puppy, feline, ferret, rabbit, pup, animal
kite, kitesurfing, kiteboarding, kayak, windsurfing, paragliding, kiter, glider, sail, flying
tie, knot, pull, wrap, necktie, shirt, bow, scarf, hook, snap, clinch
cow, sheep, pig, goat, cattle, herd, milk, dairy, horse, animal, bull
toaster, oven, microwave, kettle, fridge, dishwasher, refrigerator, coffeemaker, cooker, refridgerator, stove
toilet, bathroom, shower, washroom, restroom, toliet, bathtub, urinal, loo, tub, towel
suitcase, suitcases, luggage, briefcase, carry-on, backpack, duffel, duffle, bag, rucksack, baggage
zebra, giraffe, leopard, cheetah, hippo, striped, elephant, wildebeest, rhino, polka, peacock
refrigerator, fridge, freezer, refrigerators, refridgerator, microwave, dishwasher, oven, dryer, frig, stove
banana, pineapple, coconut, strawberry, mango, carrot, fruit, pumpkin, peanut, blueberry, potato
bird, owl, pigeon, parrot, nest, hummingbird, squirrel, turtle, fowl, ducks, avian
sheep, goats, cattle, lambs, cows, herd, pigs, donkeys, livestock, rabbits, pasture
bear, lion, wolf, teddy, grizzly, moose, elephant, animal, deer, bunny, tiger
sink, faucet, bathtub, toilet, drain, tub, bathroom, kitchen, countertop, pedestal, shower
car, vehicle, automobile, truck, auto, driving, dealership, rental, motorcycle, motorbike, SUV
cup, bowl, tablespoons, teaspoon, milk, butter, spoon, tbsp, juice, tsp, pint
oven, stove, cooker, bake, microwave, toaster, freezer, refrigerator, cook, fridge, pan
backpack, duffel, rucksack, bag, duffle, suitcase, daypack, tote, briefcase, luggage, bookbag
sofa, couch, loveseat, recliner, futon, armchairs, settee, bed, upholstered, chaise, chairs
remote, wireless, control, access, monitor, connect, setup, system, transmitter, computer, device
broccoli, cauliflower, spinach, carrots, asparagus, kale, sprouts, cabbage, celery, zucchini, brocolli
skis, snowboards, skiis, snowshoes, sleds, kayaks, skiers, skates, telemark, snowmobiles, freeride
frisbee, Frisbee, bocce, kickball, dodgeball, whiffle, frizbee, wiffle, croquet, badminton, flyball
cake, cupcakes, dessert, chocolate, cheesecake, pudding, frosting, cookie, pie, brownies, icing
truck, vehicle, car, tractor, tow, pickup, cab, jeep, hauling, hauler, lorry
fork, spoon, bend, spatula, tines, skewer, wheel, tongs, handlebars, shovel, knife
orange, yellow, red, blue, purple, green, pink, lime, peach, lemon, tangerine
toothbrush, toothpaste, mouthwash, sonicare, sanitizer, brushing, flossing, hairbrush, shaver, towel, shaving
surfboard, longboard, paddleboard, surf, surfer, skateboard, kiteboard, windsurf, bodyboard, sailboard, kayak
apple, blackberry, iphone, fruit, blueberry, strawberry, ipad, pineapple, pear, cider, mango
bottle, drink, beer, jug, pint, wine, glass, vodka, flask, cans, whiskey
motorbike, motorcycle, scooter, bike, moped, motorcyle, bicycle, car, dirtbike, motocycle, motorcyclists
mouse, Mouse, mice, rat, cursor, keyboard, rabbit, hamster, rodent, touchpad, buttons
vase, porcelain, teapot, pottery, earthenware, jug, glass, paperweight, decorative, flower, stoneware
laptop, notebook, netbook, computer, battery, toshiba, macbook, acer, compaq, vaio, inspiron
spoon, ladle, bowl, spatula, butter, tongs, pan, utensil, whisk, fork, cup
pizza, pasta, burger, sandwiches, pizzeria, hamburger, pepperoni, cheese, bread, steak, lasagna
carrot, celery, potato, onion, zucchini, cabbage, broccoli, cauliflower, turnip, cucumber, radish
train, railway, bus, rail, subway, railroad, station, buses, tram, commuter, taxi
horse, horses, pony, equine, stallion, thoroughbred, donkey, riding, dog, cow, equestrian
sandwich, burger, hamburger, pizza, sandwhich, cheese, salad, bacon, fries, bread, bagel
clock, timer, alarm, stopwatch, dial, signal, ticking, time, chime, countdown, cuckoo
aeroplane, airplane, biplane, aircraft, airliner, flying, plane, airship, seaplane, helicopter, airbus
bowl, spoon, cup, dish, jug, soup, pan, pot, toss, butter, platter
chair, sofa, seat, recliner, desk, couch, sitting, table, upholstered, chaise, stool
dog, puppy, pet, cat, canine, pup, terrier, kitten, poodle, kennel, beagle
skateboard, skate, bmx, longboard, skatepark, snowboard, sk8, skater, rollerblades
donut, doughnut, dunkin, Kreme, Krispy, cupcake, ice-cream, muffin, pancake, bagel, cheeseburger
book, author, paperback, read, novels, writing, ebook, non-fiction, fiction, e-book, memoir
boat, sailboat, sail, yacht, canoe, pontoon, fishing, dinghy, kayak, shore, barge
handbag, purse, tote, satchel, wallet, bag, fendi, hobo, Vuitton, prada, chanel
